window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
14d,symbol_path,SOL/USDT:USDT|aligned_trend,2,0.0,0.0,1.0,0.39028079209769606,0.4146197224460634,-0.017525967229429396,-0.012268177060600575,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,SOL/USDT:USDT|1h_continuation,1,0.0,0.0,1.0,0.48331489101280056,0.29271183540211554,-0.019264523120650977,-0.013485166184455685,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,SOL/USDT:USDT|adaptive_trend_route,5,0.0,0.0,0.8,0.29594984054041407,0.6290999086164074,-0.22775260232113648,-0.21942682162479543,,555.0,1,1.0,0.2,DO_NOT_ENABLE
14d,symbol_path,SUI/USDT:USDT|15m_fast,10,0.0,0.0,0.9,0.4757925790466844,0.485460053156847,-0.11616987230737663,-0.11131891061516361,,885.0,1,1.0,0.4,DO_NOT_ENABLE
14d,symbol_path,SUI/USDT:USDT|4h_flip,2,0.0,0.0,1.0,0.4210215330558887,0.1781760897827266,-0.015096735655556387,-0.01056771495888947,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,SUI/USDT:USDT|1h_continuation,2,0.0,0.0,1.0,0.5389712061825498,0.20802134607086809,-0.016089672130855454,-0.011262770491598816,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,SUI/USDT:USDT|aligned_trend,4,0.0,0.0,1.0,0.7317611211973678,0.1980231014355316,-0.016699993162364573,-0.011689995213655201,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,SUI/USDT:USDT|adaptive_trend_route,5,0.0,0.0,1.0,0.161265263949634,0.7207101115663562,-0.022903793776915128,-0.01603265564384059,,,1,1.0,0.2,DO_NOT_ENABLE
14d,symbol_path,XRP/USDT:USDT|adaptive_trend_route,4,0.0,0.0,0.75,0.19099154130877927,0.7439026126734941,-0.2844728731685576,-0.27413101121799033,,900.0,1,1.0,0.25,DO_NOT_ENABLE
14d,symbol_path,XRP/USDT:USDT|15m_fast,8,0.375,0.0,0.625,0.802699952997756,0.27464949938571753,-0.022175588446631325,-0.015522911912641928,1245.0,,1,1.0,0.25,DO_NOT_ENABLE
